name,state,published,closing
STAMFORD HIGH SCHOOL WAYFINDING PROJECT FOR STAMFORD PUBLIC SCHOOLS,"
								Connecticut","
								08/03/2021","
								09/02/2021"
Insurance Broker Services for the Maryland Jockey Injury Compensation Fund,"
								Maryland","
								08/02/2021","
								08/26/2021"
Banking Services,"
								Massachusetts","
								08/02/2021","
								09/01/2021"
RFP for Case Management/CRM System,"
								California","
								08/02/2021","
								08/31/2021"
Annual Contract for Mowing of Medians,"
								Texas","
								08/02/2021","
								08/30/2021"
Control Building Electrical Upgrades,"
								Illinois","
								08/02/2021","
								09/09/2021"
GIS Data Updates & Maintenance,"
								Oklahoma","
								08/02/2021","
								09/02/2021"
GROUNDS MAINTENANCE FOR PARKS AND ATHLETIC FIELDS,"
								Florida","
								08/02/2021","
								08/31/2021"
RE-BID CITY HALL/THALIAN HALL HVAC UPGRADES,"
								North Carolina","
								08/02/2021","
								08/31/2021"
Invitation to Bid / Real Property for Sale,"
								South Carolina","
								08/02/2021","
								08/31/2021"
Temporary Nursing Services,"
								Kansas","
								08/02/2021","
								08/31/2021"
Trash Disposal Services Provider,"
								Mississippi","
								08/02/2021","
								09/08/2021"
RFQ/RFP for Grant Writing/Admin and Related Services,"
								Georgia","
								08/02/2021","
								09/07/2021"
HONOLULU ZOO ROOF REPLACEMENTS,"
								Hawaii","
								08/02/2021","
								09/08/2021"
SEWER IMPROVEMENTS CONTRACT,"
								Mississippi","
								08/02/2021","
								09/07/2021"
"Traffic signal modernization, concrete curb and gutter, sidewalk, sidewalk ramps and pavement markings on M-54 at the intersections of Maple Avenue and Bristol Road, Genesee County. ** 485 L **","
								Michigan","
								08/02/2021","
								09/03/2021"
2022 Pavement Preservation Package 7 - Base Repair TOC,"
								Texas","
								08/02/2021","
								09/03/2021"
"3.48 mi of hot mix asphalt cold milling and resurfacing, paver placed surface seal, shoulder gravel and pavement markings on US-41/M-28 from County Road FNO to west of County Road AKE, Marquette County","
								Michigan","
								08/02/2021","
								09/03/2021"
Countywide Performance Based Janitorial Services,"
								California","
								08/02/2021","
								09/10/2021"
Storm Sewer Installation and Maintenance for Harris County Precinct 2,"
								Texas","
								08/02/2021","
								08/30/2021"
Two-Year Citywide Contract for Bottled Water and Sports Drink,"
								Louisiana","
								08/02/2021","
								08/30/2021"
District-Wide Smart Vending Machine Services,"
								California","
								08/02/2021","
								08/27/2021"
Hennessy Hall Classroom and ADA Improvements,"
								Kansas","
								08/02/2021","
								08/27/2021"
Intent to Participate - Automotive Parts,"
								California","
								08/02/2021","
								08/27/2021"
"Porter County Dept of Development and Storm Water Management, Bridge 40 Replacement, carrying CR 1000 S over Reeves Ditch (South) in Porter County, IN, LaPorte District","
								Indiana","
								08/02/2021","
								08/27/2021"
ARCHITECTURAL DESIGN SERVICES – FIRE STATION NO 5 PARTIAL REMODEL,"
								California","
								08/02/2021","
								08/27/2021"
Engineering Services for N 10th St Roadway Improvements N Treadaway Blvd to Loop 322,"
								Texas","
								08/02/2021","
								08/27/2021"
Engineering Services for Maple Street Roadway Improvements Loop 322 (Jake Roberts Fwy) to ES 11th St,"
								Texas","
								08/02/2021","
								08/27/2021"
Engineering Services for Maple Street Roadway Improvements Carriage Hills Pkwy to Loop 322,"
								Texas","
								08/02/2021","
								08/27/2021"
Removal of City Building 98 Salmon Run Way,"
								Michigan","
								08/02/2021","
								08/27/2021"
Pharmacy Services at A. Holly Patterson Extended Care Facility,"
								New York","
								08/02/2021","
								08/27/2021"
Indefinite Quantity Contract for Roofing Consulting Services,"
								South Carolina","
								08/02/2021","
								08/27/2021"
New and Used Textbooks,"
								Virginia","
								08/02/2021","
								08/27/2021"
Roof Inspection Services,"
								Florida","
								08/02/2021","
								08/27/2021"
MUNICIPAL SOLID WASTE (MSW) COLLECTION SERVICES,"
								Virginia","
								08/02/2021","
								08/27/2021"
Bid No. 2021-22 - Roof Inspection Services,"
								Florida","
								08/02/2021","
								08/27/2021"
IFB for Security Perimeter Fencing & Gates Surfside WWTF,"
								Massachusetts","
								08/02/2021","
								08/27/2021"
Facilities - North Star Renovation,"
								Georgia","
								08/02/2021","
								08/27/2021"
Greater Lincoln Downtown Corridor Professional Design & Phase 1 Construction Services,"
								Nebraska","
								08/02/2021","
								08/27/2021"
25th Avenue Pedestrian Boulevard Construction,"
								Colorado","
								08/02/2021","
								08/20/2021"
The Paving and Drainage Improvements for TxDOT Frontage Road,"
								Texas","
								08/02/2021","
								08/17/2021"
Pharmacy Services at Nassau County Correctional Center,"
								New York","
								08/02/2021","
								08/27/2021"
Inmate Prisoner Ophthalmology Services,"
								New York","
								08/02/2021","
								08/27/2021"
Roadway Lighting on SR-3 (US-31) from the Patton Chapel Road Intersection to the I-65 Interchange in Hoover. Length 1.343 mi.,"
								Alabama","
								08/02/2021","
								08/27/2021"
Constructing the Safety Improvements (Guardrail and Guardrail End Anchor Installations) on CR-199 over Brush Creek south of Union (Site 1) and on CR-133 over Brush Creek southwest of Eutaw (Site 2). Length,"
								Alabama","
								08/02/2021","
								08/27/2021"
VARIOUS STREETS 2020 TENAFLY,"
								New Jersey","
								08/02/2021","
								08/27/2021"
ST. AND CLAIR COUNTIES,"
								Alabama","
								08/02/2021","
								08/27/2021"
Constructing the Acceleration Lane on SR-2 (US-72) at the junction of SR-35 in Woodville,"
								Alabama","
								08/02/2021","
								08/27/2021"
Constructing the Safety Improvements (Curve Warning Sign Installations) on various routes in the Southwest Region (Mobile Area),"
								Alabama","
								08/02/2021","
								08/27/2021"
Constructing the Safety Improvements (Guardrail and Guardrail End Anchor Installations) on CR-17 over Pea Creek northwest of Louisville (Site 1) and on CR-72 over Sikes Creek southwest of Blue Springs,"
								Alabama","
								08/02/2021","
								08/27/2021"
"For constructing the Bridge Replacement (Grading, Drainage, Pavement, and Bridge) on CR-126 (Springdale Road) overFive Mile Creek in Tarrant","
								Alabama","
								08/02/2021","
								08/27/2021"
"Constructing the Bridge Rehabilitation (Steel and Concrete Repairs, Steel Bridge Coating, Deck Sealing, and Decorative Lighting Removal) on SR-257 at the Duncan Bridge over Lewis Smith Lake north of Curry","
								Alabama","
								08/02/2021","
								08/27/2021"
DRILLING AND CONSTRUCTION OF WELL 33 PROJECT,"
								California","
								08/02/2021","
								08/26/2021"
"For constructing the Additional Turn Lane (Grading, Drainage, Pavement, and Bridge Culvert Extension) on SR-165 at thejunction of CR-24 south of Fort Mitchell","
								Alabama","
								08/02/2021","
								08/27/2021"
"Constructing the Planing, Resurfacing, Full Depth Reclamation, Guardrail Replacement, and Traffic Stripe on CR-12 from the East City Limits of Uniontown to the junction of SR-5","
								Alabama","
								08/02/2021","
								08/27/2021"
BCC Maker Space at Koussevitzky Arts Center,"
								Massachusetts","
								08/02/2021","
								08/27/2021"
Cable Trench,"
								Missouri","
								08/02/2021","
								08/26/2021"
Surplus Real Property,"
								South Carolina","
								08/02/2021","
								08/31/2021"
GRANT WRITING/ADMIN RELATED SERVICES,"
								Georgia","
								08/02/2021","
								08/31/2021"
Roosevelt Avenue (I-10 to S St. Mary’s St.),"
								Texas","
								08/02/2021","
								09/03/2021"
Crack Sealing – Hot Asphalt Mix and Concrete Pavements,"
								New Mexico","
								08/02/2021","
								09/03/2021"
2021 PATHFINDER 2200 TRS BOAT,"
								Florida","
								08/02/2021","
								08/26/2021"
"5.93 mi of double chip seal, fog seal, shoulder aggregate and pavement markings on Hurds Corner Road from M-46 north to Bevens Road and Bay City Forestville Road from the east village limits of Gagetown","
								Michigan","
								08/02/2021","
								09/03/2021"
Sewer Improvements Project,"
								Mississippi","
								08/02/2021","
								09/07/2021"
"Traffic signal modernizations, concrete curb and gutter and sidewalk ramp upgrades on M-21 at Ballenger Highway, Dye Road and TA Mansour Boulevard in the city of Flint, Genesee County","
								Michigan","
								08/02/2021","
								09/03/2021"
2021 Manhole Rehabilitation,"
								Oregon","
								08/02/2021","
								08/26/2021"
ITS HVAC Upgrade at District Operations Center,"
								California","
								08/02/2021","
								08/31/2021"
Veterinary Pharmaceuticals,"
								Florida","
								08/02/2021","
								08/26/2021"
RFP - Emergency Food Services,"
								California","
								08/02/2021","
								08/26/2021"
Actuarial Consulting Services,"
								Delaware","
								08/02/2021","
								08/31/2021"
Grease Trap Services,"
								Texas","
								08/02/2021","
								08/31/2021"
Shared Motorized Scooter Services,"
								Florida","
								08/02/2021","
								09/15/2021"
Portable Variable Message (VMS) Boards,"
								Florida","
								08/02/2021","
								08/26/2021"
2022 Pavement Preservation Package 8 - Base Repair TOC,"
								Texas","
								08/02/2021","
								09/10/2021"
2022 Pavement Preservation Package 8 - Base Repair TOC,"
								Texas","
								08/02/2021","
								09/10/2021"
"Construction of the Water, Sanitary Sewer and Drainage Facilities to Serve River's Edge Section 2","
								Texas","
								08/02/2021","
								08/26/2021"
Olde Mill Drainage Improvements - Rebid,"
								Ohio","
								08/02/2021","
								08/26/2021"
Grounds Maintenance Services for Various Facilities And Regional Library Locations,"
								Georgia","
								08/02/2021","
								09/13/2021"
CONSTRUCTION MANAGER-AT-RISK WITH A GUARANTEED MAXIMUM PRICE HALL OF JUSTICE MAJOR SYSTEMS RENOVATION PROJECT,"
								California","
								08/02/2021","
								09/17/2021"
ALTERNATOR - SCROLL TYPE,"
								California","
								08/02/2021","
								08/26/2021"
GPS Tracking System,"
								Florida","
								08/02/2021","
								09/13/2021"
INSTALLATION OF A SOLAR PHOTOVOLTAIC ENERGY SYSTEM AT THE FARMVILLE MUNICIPAL LANDFILL AND/OR FARMVILLE MUNICIPAL GOLF COURSE,"
								Virginia","
								08/02/2021","
								08/26/2021"
"Feasibility Study, Fairfax City Property Yard","
								Virginia","
								08/02/2021","
								09/09/2021"
BRIDGE REPLACEMENT,"
								Arizona","
								08/02/2021","
								09/17/2021"
Replace Diesel Generators with Natural Gas Generators,"
								Ohio","
								08/02/2021","
								08/26/2021"
Dyer Softball Field Relocation,"
								Connecticut","
								08/02/2021","
								08/26/2021"
North Ellijay Sewer Trunk Line Rehabilitation,"
								Georgia","
								08/02/2021","
								08/26/2021"
On Call Traffic Data Counts Services,"
								Arizona","
								08/02/2021","
								08/26/2021"
Snowplowing & Removal Services for Secure Areas at the Greater Rochester International Airport,"
								New York","
								08/02/2021","
								08/26/2021"
"Bathroom Partition Services (Installation, Repair, Upgrades and Removal)","
								Florida","
								08/02/2021","
								08/26/2021"
WEST PARKWAY RECONSTRUCTION - NORTH,"
								New Jersey","
								08/02/2021","
								08/26/2021"
"Sherwood Drive Emergency Repair, 108 Inch CMP Culvert","
								Iowa","
								08/02/2021","
								08/26/2021"
,,,
Hazardous/ Non-Hazardous Waste Disposal and Equipment Rental,"
								California","
								08/02/2021","
								08/25/2021"
"Labor and Materials for Danville Southside, White Oak and Westover Substations","
								Virginia","
								08/02/2021","
								09/16/2021"
Housing Rehabilitation Program Client Eligibility and Loan Processing,"
								Washington","
								08/02/2021","
								08/25/2021"
Operations and Maintenance of Wastewater Treatment Plant at South Dade Landfill,"
								Florida","
								08/02/2021","
								08/25/2021"
TDOT Wetland Compensatory Mitigation Credits,"
								Tennessee","
								08/02/2021","
								08/25/2021"
"Aquatic Vegetation Management for Cranberry Lake, Deception Pass State Park","
								Washington","
								08/02/2021","
								08/25/2021"
Phase 1 EGCC Parking Garage Rehabilitation,"
								Ohio","
								08/02/2021","
								08/25/2021"
"New Holly Roof & Gutter Cleaning + High Point North Roof, Gutter & Siding Cleaning Combined Projects","
								Washington","
								08/02/2021","
								08/25/2021"
FERRIC CHLORIDE,"
								Texas","
								08/02/2021","
								08/25/2021"
City Fire Hydrants,"
								Maryland","
								08/02/2021","
								10/01/2021"
New Shade Structure at East Lake Sports and Community Complex,"
								Florida","
								08/02/2021","
								08/25/2021"
Valandra Bridge-VB-5-A036-20(3) Replacement,"
								South Dakota","
								08/02/2021","
								09/29/2021"
Cooling Tower Water Treatment Services,"
								Florida","
								08/02/2021","
								08/25/2021"
Security Risk Assessment Services,"
								Texas","
								08/02/2021","
								08/25/2021"
INDIAN CREEK BRIDGE,"
								West Virginia","
								08/02/2021","
								09/14/2021"
Government Relations Consulting,"
								Maryland","
								08/02/2021","
								08/25/2021"
Rehabilitation and Installation of Guardrails Indefinite Quantity Contract (IDQ) FY22,"
								Virginia","
								08/02/2021","
								08/25/2021"
Kitchen Equipment Service & Repair,"
								New Jersey","
								08/02/2021","
								08/25/2021"
Glazier Services,"
								Connecticut","
								08/02/2021","
								08/25/2021"
"Micro-Milling, Resurfacing, Drainage Improvements, Sidewalk Installation, and Traffic Stripe on Cox Boulevard from the junction of Avalon Avenue to the junction of SR-184 (East Second Street) in Sheffield","
								Alabama","
								08/02/2021","
								08/27/2021"
OPEN CHANNEL FLOW CONTROL METERS,"
								Texas","
								08/02/2021","
								08/25/2021"
Somerset County Park Commission: Food Truck Concessionaire Services,"
								New Jersey","
								08/02/2021","
								08/25/2021"
SODIUM HYDROXIDE SOLUTION (25% AND 50%) FY22,"
								Texas","
								08/02/2021","
								08/25/2021"
HYDROFLUOSILIC ACID FY22,"
								Texas","
								08/02/2021","
								08/25/2021"
Widening and Center Turn Lane on SR-25 (US-411) from the junction of Council Drive to the junctionof Burgess Drive in Odenville,"
								Alabama","
								08/02/2021","
								08/27/2021"
Vacuum Induction Units-CRWS,"
								Texas","
								08/02/2021","
								08/25/2021"
HENDERSON HALL HVAC AND ADA IMPROVEMENTS / DESIGN-BUILD,"
								Ohio","
								08/02/2021","
								08/30/2021"
Banking Services,"
								Virginia","
								08/02/2021","
								08/30/2021"
JANITORIAL SERVICES HOLLY HILL,"
								South Carolina","
								08/02/2021","
								08/26/2021"
LIQUID ALUMINUM SULFATE FY22,"
								Texas","
								08/02/2021","
								08/25/2021"
"Rainier Vista NE Roof & Gutter Cleaning + High Point South Roof, Gutter & Siding Cleaning Combined Projects","
								Washington","
								08/02/2021","
								08/24/2021"
COPPER SULFATE SOLUTION FY22,"
								Texas","
								08/02/2021","
								08/25/2021"
Vande East Apartments - Countertops,"
								Missouri","
								08/02/2021","
								08/30/2021"
Vande East Apartments - Flooring,"
								Missouri","
								08/02/2021","
								08/30/2021"
LIQUID CHLORINE FY22,"
								Texas","
								08/02/2021","
								08/25/2021"
LIQUID SULFUR DIOXIDE FY22,"
								Texas","
								08/02/2021","
								08/25/2021"
Road Sand for Snow and Ice Control of City Streets,"
								Connecticut","
								08/02/2021","
								08/25/2021"
Cockley Rd Culvert Replacements/LST 2021 Drainage Imp. and Swatara Dr. Sanitary Storm Imp.,"
								Pennsylvania","
								08/02/2021","
								08/25/2021"
Shiebers Addition Erosion Repair,"
								Minnesota","
								08/02/2021","
								08/25/2021"
NET and Web Application Developer,"
								Washington","
								08/02/2021","
								08/25/2021"
Sewer System Master Plan Implementation: CIP-6-Sewer Capacity Project Phase 1,"
								California","
								08/02/2021","
								08/25/2021"
ON-CALL LAND USE PLANNING & ENVIRONMENTAL PERMITTING CONSULTING SERVICES,"
								Oregon","
								08/02/2021","
								08/24/2021"
Salmon Springs Water Main Phase 3 Project,"
								Washington","
								08/02/2021","
								08/24/2021"
Vande East Apartments - Carpentry,"
								Missouri","
								08/02/2021","
								08/30/2021"
RFP – Inspection Services for 2021 Pavement Rehabilitation Project,"
								California","
								08/02/2021","
								08/24/2021"
Vande East Apartments - Roofing,"
								Missouri","
								08/02/2021","
								08/30/2021"
Vande East Apartments - Cabinetry,"
								Missouri","
								08/02/2021","
								08/30/2021"
Legal Services,"
								Ohio","
								08/02/2021","
								09/09/2021"
"Sale of Surplus Real Property: Unaddressed 43 Acres within Fiddler’s Creek, Naples, FL 34114","
								Florida","
								08/02/2021","
								09/02/2021"
Janitorial Services,"
								New Jersey","
								08/02/2021","
								09/02/2021"
Elevator Maintenance Services,"
								Texas","
								08/02/2021","
								09/02/2021"
ROANOKE STREET/TOWER RD INTERSECTION IMPROVEMENTS,"
								Virginia","
								08/02/2021","
								09/02/2021"
"Bridge scaling and plywood false decking removal and disposal on various routes, Allegan, Ionia, Kent, Mason, Mecosta, Montcalm, Muskegon, Oceana, Osceola and Ottawa Counties","
								Michigan","
								08/02/2021","
								09/03/2021"
"0.11 mi of median crossover removal and signal removal and installation, signing and pavement markings on M-59 east of Van Dyke Avenue and on westbound M-59 at Vanker Avenue in the cities of Utica and","
								Michigan","
								08/02/2021","
								09/03/2021"
2021 Pavement Rehabilitation Project,"
								California","
								08/02/2021","
								08/24/2021"
"Bridge reconstruction including deck replacement, backwall replacement, masonry plate replacement, pin and hanger replacement, partial cleaning and coating, structural steel repairs, silane treatment,","
								Michigan","
								08/02/2021","
								09/03/2021"
"10.40 mi of hot mix asphalt cold milling and resurfacing and pavement markings on US-2 from Wildwood Drive to Brevort Lake Road and from the Cut River to Worth Road, Mackinac County. ** 6794 Cb **","
								Michigan","
								08/02/2021","
								09/03/2021"
"27.42 mi of hot mix asphalt fine textured milling and resurfacing and pavement markings on M-65 from M-72 to McCollum Lake Road and from VanWagoner Road to M-32, Alcona and Alpena Counties. This project","
								Michigan","
								08/02/2021","
								09/03/2021"
"Bridge scaling and removal of lateral bracing at multiple structures on various routes, Clinton, Eaton, Ingham, Jackson, Livingston, Monroe and Washtenaw Counties. ** 1785 N9-1A **","
								Michigan","
								08/02/2021","
								09/03/2021"
"4.00 mi of hot mix asphalt crushing, shaping and resurfacing, aggregate base, guardrail and pavement markings on Gardner Road north of 1 1/2 Mile Road, Ontonagon County. This is a Local Agency Project.","
								Michigan","
								08/02/2021","
								09/03/2021"
Bridge rehabilitation,"
								Michigan","
								08/02/2021","
								09/03/2021"
Carbon County Courthouse Elevator Modernization -General Construction,"
								Pennsylvania","
								08/02/2021","
								09/02/2021"
Salmon Springs Water Main; Phase 3,"
								Washington","
								08/02/2021","
								08/24/2021"
Carbon County Courthouse Elevator Modernization - Elevator,"
								Pennsylvania","
								08/02/2021","
								09/02/2021"
Carbon County Courthouse Elevator Modernization - Electrical Work,"
								Pennsylvania","
								08/02/2021","
								09/02/2021"
Glass Traffic Beads,"
								Nevada","
								08/02/2021","
								08/24/2021"
Watson Road Phase I,"
								Texas","
								08/02/2021","
								09/17/2021"
Electrical Services Dock Crew 2021,"
								Washington","
								08/02/2021","
								08/24/2021"
Worker's Compensation Claims Administration Services,"
								Maryland","
								08/02/2021","
								09/15/2021"
METACOMET GREENWAY FEASIBILITY STUDY,"
								Massachusetts","
								08/02/2021","
								09/15/2021"
Telecommunication System Upgrade,"
								California","
								08/02/2021","
								09/24/2021"
Social Media Consulting Services,"
								New Jersey","
								08/02/2021","
								08/27/2021"
Real Estate Services,"
								Michigan","
								08/02/2021","
								08/27/2021"
"NETWORK SWITCHES, PORTS, STACK KITS AND LICENSES","
								Mississippi","
								08/02/2021","
								08/24/2021"
Resurfacing on CR-41 (Walden Drive) from the junction of Kinsey Road to the junction of Broad Street in Kinsey (Site 1); on Suggs Road from the junction of Headland Avenue to the Henry County Line (Site,"
								Alabama","
								08/02/2021","
								08/27/2021"
Roof Replacement at the St. Paul Minnesota National Guard Armory,"
								Minnesota","
								08/02/2021","
								08/24/2021"
Sanitary Sewer Rehabilitation,"
								Missouri","
								08/02/2021","
								08/24/2021"
Maintenance Bridge Column Repair,"
								Alabama","
								08/02/2021","
								08/27/2021"
Lake County Roads Pavement Markings – 2021,"
								Ohio","
								08/02/2021","
								08/18/2021"
Polymer Modified Asphalt Pavement Repair Mastic,"
								Nebraska","
								08/02/2021","
								08/24/2021"
PUBLIC SAFETY LOCATION STUDY,"
								Georgia","
								08/02/2021","
								08/24/2021"
Ottawa East 2021 Dining Expansion,"
								Ohio","
								08/02/2021","
								08/24/2021"
Wooster - GDAL Swine Finishing,"
								Ohio","
								08/02/2021","
								08/24/2021"
FOCAS Family Activities Center,"
								Ohio","
								08/02/2021","
								08/24/2021"
DPW Fuel Station Equipment,"
								Connecticut","
								08/02/2021","
								08/24/2021"
RFP for Real Estate Broker Services,"
								Florida","
								08/02/2021","
								08/24/2021"
Practice Field Upgrades,"
								South Carolina","
								08/02/2021","
								08/24/2021"
SMD_ Services_ IDIQ Contract Citywide Elevator Upgrade (Hoist Motor Generators),"
								New York","
								08/02/2021","
								08/19/2021"
Emergency Medical Services Director,"
								Florida","
								08/02/2021","
								08/24/2021"
"Full Depth Reclamation & Paving of Dimmock, Ed Jones, Merritt, & Judd Rds.","
								Massachusetts","
								08/02/2021","
								08/24/2021"
Request for Written Cost Quotes,"
								Michigan","
								08/02/2021","
								08/24/2021"
171/21275.MNB; Cadillac Place - Elevator Upgrades Phase I,"
								Michigan","
								08/02/2021","
								09/09/2021"
2021 HARRISON AVENUE IMPROVEMENTS,"
								Washington","
								08/02/2021","
								08/24/2021"
EXPO CENTER FOOD SERVICE CONCESSIONS & CATERING,"
								Michigan","
								08/02/2021","
								08/24/2021"
UNH - Morse Hall Former Clean Room Renovation,"
								New Hampshire","
								08/02/2021","
								08/24/2021"
EMERGENCY SEWER SYSTEM AND STORM WATER SYSTEM REPAIR SERVICES,"
								Connecticut","
								08/02/2021","
								08/24/2021"
Request for Proposal Design Services for Memorial Swimming Pool Project,"
								Massachusetts","
								08/02/2021","
								08/24/2021"
NONPUBLIC SCHOOL SECURITY GUARD SERVICES-REBID,"
								New Jersey","
								08/02/2021","
								08/24/2021"
2021 Water Main Improvements,"
								Illinois","
								08/02/2021","
								08/24/2021"
156815 Asphalt Patching - Carroll County,"
								Virginia","
								08/02/2021","
								08/19/2021"
,,,
Roof Replacements at John J. Murphy Apartments,"
								New Jersey","
								08/02/2021","
								08/24/2021"
Fire Suppression Equipment Service Contract,"
								Florida","
								08/02/2021","
								08/24/2021"
"Protected Class, Disadvantaged and Veteran Owned Businesses (PCE, DBE, MBE, WBE, SBE, VBE, VOSB, SDVOSB) for: Decommissioning of the Thornton Transitional Reservoir, CONTRACT 15-266-4H5, Metropolitan Water","
								Illinois","
								08/02/2021","
								08/24/2021"
Open Ended Construction Management (CM)/Construction Support (CS) Services,"
								Hawaii","
								08/02/2021","
								08/23/2021"
Twenty (20) M4 Rifles,"
								California","
								08/02/2021","
								08/23/2021"
Digital Multi-Function Copiers,"
								California","
								08/02/2021","
								08/23/2021"
"FY21-095 Rubber Couplings, PVC Pipe, and Related Materials – Utilities Department","
								Texas","
								08/02/2021","
								08/23/2021"
America Job Center of California One Stop Operator,"
								California","
								08/02/2021","
								08/23/2021"
Remote Controlled Skid Steer,"
								Nevada","
								08/02/2021","
								08/23/2021"
5 Year Motor Inspection & Repairs,"
								New York","
								08/02/2021","
								08/23/2021"
Disaster Recovery Program Management for the Harris County Flood Control District,"
								Texas","
								08/02/2021","
								08/23/2021"
RFP - Document Translation and Interpretation Services and Related Items for the Harris County Community Services Department,"
								Texas","
								08/02/2021","
								08/23/2021"
LYCOMING ENGINE(S) OVERHAUL - REBID,"
								Florida","
								08/02/2021","
								08/20/2021"
Purchase of Four Person Power Boat; Spec #37-08/21,"
								Pennsylvania","
								08/02/2021","
								08/23/2021"
FACILITIES BUILDING CONDITION ASSESSMENT,"
								Connecticut","
								08/02/2021","
								08/23/2021"
School Physician,"
								New Jersey","
								08/02/2021","
								08/21/2021"
"Tree Trimming, Maintenance and Removal Services","
								Illinois","
								08/02/2021","
								08/18/2021"
WAREHOUSE STORAGE RENOVATION,"
								South Dakota","
								08/02/2021","
								08/16/2021"
CONCRETE PLATFORM,"
								South Dakota","
								08/02/2021","
								08/16/2021"
WAREHOUSE STORAGE UNIT,"
								South Dakota","
								08/02/2021","
								08/16/2021"
Active Transportation Wayfinding Signage Program,"
								California","
								08/02/2021","
								08/20/2021"
F&A Proposal Grant Mgmt Support Svcs,"
								Washington","
								08/02/2021","
								08/20/2021"
Roads Program Initiative Request for Information,"
								California","
								08/02/2021","
								08/20/2021"
SEWARD HIGHWAY: MP 25.5 TO 36 TRAIL RIVER TO STERLING WYE REHABILITATION DRILLING SERVICES,"
								Alaska","
								08/02/2021","
								08/20/2021"
GSHC Conference Coordinator,"
								Alaska","
								08/02/2021","
								08/20/2021"
Debt Collection Services,"
								California","
								08/02/2021","
								08/20/2021"
CANNABIS TAXATION PROGRAM CONSULTANT SERVICES,"
								California","
								08/02/2021","
								08/20/2021"
Bathroom Modification,"
								South Carolina","
								08/02/2021","
								08/20/2021"
"REQUEST FOR PROPOSAL FOR THE PENSION BENEFITS, DESIGN, AND FUNDING TASK FORCE PURSUANT TO 2021 ACTS AND RESOLVES No. 75","
								Vermont","
								08/02/2021","
								08/20/2021"
CONSTRUCTION OF AN EXTERIOR ACCESSIBLE ENTRANCE,"
								New Jersey","
								08/02/2021","
								08/20/2021"
PW Pre-Qual Bid 2301-ANNUAL SERVICE CONTRACT for TRENCHLESS SEWER REHABILITATION with a CIPP LINER,"
								Pennsylvania","
								08/02/2021","
								08/17/2021"
Court Security Services,"
								Missouri","
								08/02/2021","
								08/20/2021"
Furniture: Classroom & Non-Classroom,"
								Texas","
								08/02/2021","
								08/20/2021"
UNIFORM SERVICES,"
								California","
								08/02/2021","
								08/20/2021"
Maintenance of Jail Electrical and Electronics Control Systems,"
								Texas","
								08/02/2021","
								08/20/2021"
Shredding and Confidential Materials Destruction Services,"
								Maine","
								08/02/2021","
								08/20/2021"
Advertising Management Services,"
								Oregon","
								08/02/2021","
								08/20/2021"
"VALVES, GATE, DUCTIEL IRON, 36"", PURCHASE, DELIVERY ONE-TIME","
								Florida","
								08/02/2021","
								08/27/2021"
VACUUM LEAF COLLECTOR,"
								Mississippi","
								08/02/2021","
								08/20/2021"
Bridle-Secured Nasogastric Tubes,"
								Texas","
								08/02/2021","
								08/20/2021"
"Refrigeration Repair Services, Foodservice Equipment Repair Services and Related Parts.","
								Wisconsin","
								08/02/2021","
								08/20/2021"
2021 Positive Prevention Programs,"
								Arkansas","
								08/02/2021","
								08/20/2021"
Bus Shelter Installation and Maintenance,"
								North Carolina","
								08/02/2021","
								08/20/2021"
Construction Manager-at-Risk (CMAR) for New Elementary School No. 18,"
								Texas","
								08/02/2021","
								08/20/2021"
Bus Shelter Installation and Maintenance,"
								North Carolina","
								08/02/2021","
								08/20/2021"
"Glenwood Resource Center HVAC Accessories, Equipment, Parts and Miscellaneous items","
								Iowa","
								08/02/2021","
								08/20/2021"
"Parts and Service, Nissan Vehicles","
								Maryland","
								08/02/2021","
								08/20/2021"
New Truck Mounted Flameless Pothole Patcher,"
								Oklahoma","
								08/02/2021","
								08/20/2021"
Temporary Personnel Staffing and Geographic Information System Mobility Payroll Support Services,"
								Oregon","
								08/02/2021","
								08/20/2021"
Emergency Preparedness Food Truck Services,"
								Florida","
								08/02/2021","
								08/20/2021"
SPRINGBROOK WATER RECLAMATION ULTRAVIOLET (UV) DISINFECTION FACILITY EQUIPMENT PRE-SECTION,"
								Illinois","
								08/02/2021","
								08/27/2021"
Police Uniforms and Duty Gear,"
								Florida","
								08/02/2021","
								08/20/2021"
International Baccalaureate (IB) Diploma Program,"
								Virginia","
								08/02/2021","
								08/20/2021"
Request for Proposals: Haslam Promotional Shirts,"
								Tennessee","
								08/02/2021","
								08/20/2021"
NPU Safety Consultant,"
								Connecticut","
								08/02/2021","
								08/20/2021"
Professional Services for Commission Redistricting,"
								Florida","
								08/02/2021","
								08/20/2021"
Enhanced Assessment for Recovery of Florida's Saltwater Fisheries,"
								Florida","
								08/02/2021","
								08/20/2021"
2021 VDSS AmeriCorps Opening Day Conference,"
								Virginia","
								08/02/2021","
								08/20/2021"
IFB for Northern Avenue Mobility and Streetscape Project,"
								Massachusetts","
								08/02/2021","
								08/20/2021"
Dorsey Run Wastewater Treatment Plant - Liquid Methanol Gallons,"
								Maryland","
								08/02/2021","
								08/20/2021"
Professional Engineering Services for Upper Madison Avenue Sidewalk Improvement Project,"
								New York","
								08/02/2021","
								08/20/2021"
South Middle School Storage Building Project,"
								Ohio","
								08/02/2021","
								08/19/2021"
