name,Location,Publishing Date,Closing Date
Solid Waste Division Large Wheel Loader Replacemnt,"
								Alaska","
								07/26/2021","
								08/17/2021"
"SC, SC5B and S. Ouray Way Sanitary Sewer Upgrade Project (Prime Contractors)","
								Colorado","
								07/26/2021","
								08/25/2021"
Waste Tire Hauling,"
								Florida","
								07/26/2021","
								08/18/2021"
Qualified Engineering Services List for 2021-2027,"
								Texas","
								07/26/2021","
								09/02/2021"
SCADA Service Provider,"
								Michigan","
								07/26/2021","
								09/02/2021"
"Sidewalk Connectivity Improvements, Package #2","
								Colorado","
								07/26/2021","
								08/19/2021"
Eastern Wayne High Chiller Bid,"
								North Carolina","
								07/26/2021","
								08/27/2021"
Rosewood Elementary Chiller Replacement,"
								North Carolina","
								07/26/2021","
								08/27/2021"
School Schedule Time & Frequency Study,"
								Colorado","
								07/26/2021","
								08/20/2021"
Social Emotional Learning,"
								Colorado","
								07/26/2021","
								08/16/2021"
Inmate Body Scanner,"
								Colorado","
								07/26/2021","
								08/30/2021"
Fitness Equipment for the Police Department,"
								Michigan","
								07/26/2021","
								08/16/2021"
Cost Recovery Model and Strategic Planning Consulting,"
								Colorado","
								07/26/2021","
								08/16/2021"
"Auctioneer Services for Vehicles, Equipment and Miscellaneous Surplus","
								New York","
								07/26/2021","
								08/18/2021"
Dairy Products,"
								New York","
								07/26/2021","
								08/19/2021"
FOOD COMMODITIES - SEPT - NOV 2021,"
								New York","
								07/26/2021","
								08/18/2021"
County of Muskegon Copiers and Printers,"
								Michigan","
								07/26/2021","
								08/26/2021"
Gasoline and Diesel Fuel,"
								Michigan","
								07/26/2021","
								09/02/2021"
"Emergency Snow Removal, City Project No. 21-OC-02","
								Colorado","
								07/26/2021","
								08/19/2021"
Lone Tree Creek Regional Trail Phase 1B,"
								Colorado","
								07/24/2021","
								08/25/2021"
Upgrade to Campus Fire System - Phase 1 & 2,"
								Colorado","
								07/23/2021","
								08/17/2021"
Access Control Improvements - 1245 Champa Street,"
								Colorado","
								07/23/2021","
								08/19/2021"
Background Check and Federal Form I-9 Vendor,"
								Colorado","
								07/23/2021","
								08/24/2021"
Devereux Trail Construction,"
								Colorado","
								07/23/2021","
								08/19/2021"
Medical Waste Services,"
								Colorado","
								07/23/2021","
								08/24/2021"
,,,
City of Grand Junction Fire Station #8 CM/GC,"
								Colorado","
								07/23/2021","
								08/31/2021"
Furnish & Deliver Granular Calcium Hypochlorite,"
								New York","
								07/23/2021","
								08/17/2021"
2021 Make-Up Air Unit Replacement,"
								Michigan","
								07/23/2021","
								08/24/2021"
Structural Firefighting Gear,"
								Michigan","
								07/23/2021","
								08/24/2021"
Medical Surveillance / Occupational Health Management Software,"
								Colorado","
								07/23/2021","
								08/17/2021"
Town Center Distributed Energy Resource Microgrid Thirty Percent Level of Design,"
								New Jersey","
								07/23/2021","
								08/19/2021"
Children's Restroom Renovation at Smyrna Library,"
								Georgia","
								07/23/2021","
								08/17/2021"
"Commercial Kitchen Equipment and Clothes Dryer, Purchase and Installation","
								New York","
								07/23/2021","
								08/18/2021"
Fall 2021 / Spring 2022 Elizabeth Dean Fund Tree Purchase and Planting,"
								Michigan","
								07/23/2021","
								08/18/2021"
"Ladder, Hose, Nozzle, SCBA Cylinder Fire Service Testing","
								Michigan","
								07/23/2021","
								08/27/2021"
Ultraviolet Disinfection Components,"
								Michigan","
								07/23/2021","
								08/19/2021"
Holiday Lighting & Exhibits - Fall 2021 through Spring 2024,"
								Colorado","
								07/23/2021","
								08/16/2021"
"REBID for Motor Oils, Lubricants and Engine Fluids for DPW","
								New York","
								07/23/2021","
								08/20/2021"
Insurance Brokerage and Advisory Services,"
								Michigan","
								07/23/2021","
								08/19/2021"
"Data Center Racks, UPS & Cooling System-Procurement & Implementation","
								Colorado","
								07/23/2021","
								08/30/2021"
Analysis of Breeding Bird Data using Program R and Related Software,"
								Colorado","
								07/23/2021","
								08/23/2021"
Fabrication and Installation of Shade Structure,"
								Colorado","
								07/23/2021","
								08/20/2021"
SFB 21-409: S. Ridgeview Way Sewer Extension,"
								Idaho","
								07/23/2021","
								08/18/2021"
Marketing and Advertising Agency Services,"
								Colorado","
								07/23/2021","
								08/20/2021"
RFP 21-404: LYNX! Consortium Assessment,"
								Idaho","
								07/23/2021","
								08/18/2021"
Executive Search Recruitment Services - Parks and Recreation Services Manager,"
								Michigan","
								07/23/2021","
								08/24/2021"
Macomb County Phase 3 Site Electrical Upgrades,"
								Michigan","
								07/23/2021","
								08/19/2021"
Military & Veteran Resource Center Generator,"
								Florida","
								07/23/2021","
								09/02/2021"
Belle Isle Library Furniture,"
								Oklahoma","
								07/23/2021","
								08/17/2021"
Durham Heavy Duty Bin Cabinet,"
								Michigan","
								07/23/2021","
								08/24/2021"
2021 Citywide Concrete Rehabilitation,"
								Colorado","
								07/23/2021","
								08/19/2021"
CITY OF SCHENECTADY PEDESTRIAN IMPROVEMENTS,"
								New York","
								07/22/2021","
								08/18/2021"
Pay Equity Study to The City of Louisville,"
								Colorado","
								07/22/2021","
								08/19/2021"
Equitable Community Engagement Services,"
								Michigan","
								07/22/2021","
								08/18/2021"
Touchless Bathroom Fixtures,"
								Colorado","
								07/22/2021","
								08/16/2021"
Suppl. On-Call Residential GC Construction for Handicapped Access,"
								New York","
								07/22/2021","
								08/17/2021"
Marketing Services,"
								New York","
								07/22/2021","
								08/16/2021"
Re-Bid of Indigent Misdemeanor Legal Representation Election Division I,"
								Michigan","
								07/22/2021","
								08/19/2021"
"Milling & Resurfacing, Basking Ridge Road (C.R. 657)","
								New Jersey","
								07/22/2021","
								08/17/2021"
"Milling & Resurfacing, S Morris Street (C.R. 643)","
								New Jersey","
								07/22/2021","
								08/17/2021"
"Milling & Resurfacing, Academy Street/Mt Hope Road (C.R. 664)","
								New Jersey","
								07/22/2021","
								08/17/2021"
Treehaven Water Line Upsize,"
								Texas","
								07/22/2021","
								08/26/2021"
Orange County Pedestrian Safety Improvements,"
								New York","
								07/22/2021","
								08/16/2021"
ASPHALT PAVING ANNUAL BID,"
								Florida","
								07/22/2021","
								08/19/2021"
PEORIA COUNTY JUVENILE & ADULT DETAINEE MENTAL & MEDICAL HEALTHCARE SERVICE,"
								Illinois","
								07/22/2021","
								09/01/2021"
"Frear Park, Phase 1 Golf Course Improvements","
								New York","
								07/22/2021","
								08/17/2021"
Hazard Mitigation Plan Update,"
								Michigan","
								07/22/2021","
								09/08/2021"
OPERATOR FOR A CHILD DAY CARE CENTER AT SHAKER PLACE REHABILITATION AND NURSING,"
								New York","
								07/22/2021","
								08/23/2021"
BOYETTE ROAD FORCE MAIN EXTENSION FROM STATE ROAD 54 TO WELLS ROAD,"
								Florida","
								07/22/2021","
								08/31/2021"
"Lease of Room 120, 112 State Street","
								New York","
								07/22/2021","
								08/27/2021"
LITTLE ROAD FORCE MAIN REPLACEMENT (FROM CITIZENS DRIVE TO DECUBELLIS ROAD),"
								Florida","
								07/22/2021","
								08/31/2021"
Parking Lot and Approach Construction  at  Dominican Meadows Preserve,"
								Michigan","
								07/22/2021","
								08/30/2021"
2021 Various Professionals and Consulting,"
								New Jersey","
								07/22/2021","
								09/14/2021"
ELECTRICAL SUBSTATION TRANSFORMER SITE FLOOD MITIGATION,"
								New York","
								07/22/2021","
								08/25/2021"
Central Park Buildout Rebid,"
								California","
								07/21/2021","
								08/20/2021"
Bus and Shuttle Services,"
								Georgia","
								07/21/2021","
								09/07/2021"
RFQ: Landscaping and Snow Removal at Head Start Buildings-Federal,"
								Colorado","
								07/21/2021","
								08/31/2021"
MYR Rental Car Canopies (Construction),"
								South Carolina","
								07/21/2021","
								09/01/2021"
CEMETERY ENDOWMENT FUND INVESTMENT ADVISORY SERVICES,"
								Colorado","
								07/21/2021","
								08/26/2021"
Residential Cleaning services,"
								Colorado","
								07/21/2021","
								08/30/2021"
Snow and landscape,"
								Colorado","
								07/21/2021","
								08/30/2021"
Applied Behavioral Analysis (ABA) for Individuals with Autism,"
								Michigan","
								07/21/2021","
								08/25/2021"
Diesel and Gasoline Purchase,"
								Colorado","
								07/21/2021","
								08/26/2021"
DRCFA A/V Assessment RFQ/P No 2 BA-1 dated 8-12-21,"
								Michigan","
								07/21/2021","
								08/17/2021"
COMMUNITY BASED RESIDENTIAL REHABILITATION TREATMENT,"
								Michigan","
								07/21/2021","
								08/20/2021"
Pine Tree Road Safety Improvements,"
								New York","
								07/21/2021","
								08/19/2021"
RFP BOND COUNSEL SERVICES,"
								New York","
								07/21/2021","
								08/25/2021"
Combustion Turbine Inlet Heating System,"
								Colorado","
								07/21/2021","
								08/18/2021"
Architectural & Engineering Design Services for 14-B District Court/Civic Center,"
								Michigan","
								07/21/2021","
								09/03/2021"
2021 Boulder County Bridge Rails and Signal Poles Painting-Project No. BM-21-00,"
								Colorado","
								07/21/2021","
								08/18/2021"
21-T00114/TM Sod Purchase and Installation,"
								Florida","
								07/21/2021","
								08/25/2021"
Request for Proposals - Tourism Marketing and Promotion Services,"
								Colorado","
								07/21/2021","
								08/20/2021"
Town of North East Government Operations Greenhouse Gas Inventory,"
								New York","
								07/21/2021","
								08/31/2021"
Detention Ponds Improvement Project,"
								Colorado","
								07/21/2021","
								08/16/2021"
Provision of General Public Fixed-Route and Demand Response Services for DCPT,"
								New York","
								07/21/2021","
								09/01/2021"
RFP-DPW03-21 Construction Mgt. Services for Construction of Medical Examiner's F,"
								New York","
								07/21/2021","
								08/18/2021"
2021 L.R.I.P. Woodward Heights Boulevard Resurfacing Project,"
								Michigan","
								07/21/2021","
								08/19/2021"
21-005: Interscholastic Sports Supplies - Winter/Spring,"
								New York","
								07/21/2021","
								08/20/2021"
As-Needed Pool Securing Services Multi-Year Award,"
								Florida","
								07/21/2021","
								08/24/2021"
21-CG0015/DK Linden Dr. Sidewalk (Spring Hill Dr. to Coronado Dr.) - LAP,"
								Florida","
								07/21/2021","
								09/01/2021"
21-C00083/DK Hernando Solid Waste Grouting for New Garbage Cell 4,"
								Florida","
								07/21/2021","
								08/25/2021"
AEPA #022,"
								Florida","
								07/20/2021","
								09/14/2021"
Proposal for the Extension of Existing Maple City Tower Project,"
								Michigan","
								07/20/2021","
								10/06/2021"
Valve Box Maintenance at Various Locations in Suffolk County,"
								New York","
								07/20/2021","
								08/16/2021"
CORE SERVICES PROGRAM,"
								Colorado","
								07/20/2021","
								07/20/2022"
Comprehensive Land Use Code Rewrite,"
								Colorado","
								07/20/2021","
								09/02/2021"
Rubber Matt Floor Replacement at Fitness/Recreation Center,"
								Colorado","
								07/20/2021","
								08/16/2021"
SW Portable Office Trailer Lease,"
								Alaska","
								07/20/2021","
								08/19/2021"
Palmer Park Parking Lot Seal Coating,"
								Michigan","
								07/20/2021","
								08/19/2021"
AS-NEEDED MARINE PILINGS AND DAYMARKERS,"
								Florida","
								07/20/2021","
								08/24/2021"
GOTHAM GREENS ATWELLS FIRE STATION SHARED USE PATH CONTSTRUCTION PROJECT,"
								Rhode Island","
								07/20/2021","
								08/16/2021"
DEAN STREET BICYCLE & PEDESTRIAN IMPROVEMENT,"
								Rhode Island","
								07/20/2021","
								08/16/2021"
BROAD STREET IMPROVEMENTS,"
								Rhode Island","
								07/20/2021","
								08/16/2021"
Proposal for the County Government Center Cell Tower & Site Development Project,"
								Michigan","
								07/20/2021","
								10/06/2021"
Salida Hot Springs Aquatics Center Outdoor Soaking Pools,"
								Colorado","
								07/20/2021","
								08/30/2021"
Military Installation Resiliency Study,"
								New York","
								07/20/2021","
								08/27/2021"
Traffic Engineering Services – Neperan Road and McKeel Ave,"
								New York","
								07/20/2021","
								08/20/2021"
County Line Rd Roadway Improvements,"
								Colorado","
								07/20/2021","
								08/25/2021"
Sanitary Sewer Easement Maintenance,"
								Georgia","
								07/20/2021","
								08/24/2021"
Malcolm X Park Design Professional,"
								New York","
								07/20/2021","
								08/18/2021"
Forensic Psychologist Consulting Services,"
								New York","
								07/20/2021","
								09/13/2021"
Workforce Management System,"
								California","
								07/19/2021","
								08/27/2021"
Enterprise Resource Planning System,"
								California","
								07/19/2021","
								08/27/2021"
Secondary Literacy Assessment,"
								Colorado","
								07/19/2021","
								08/19/2021"
CITY OF VICTORIA PUMP STATIONS & FLOOD GATES GLO CDBG-DR CONTRACT NO. 20-065-055,"
								Texas","
								07/19/2021","
								08/25/2021"
,,,
City Parks Building Improvements,"
								Michigan","
								07/19/2021","
								08/25/2021"
Sierra Highway Sidewalks,"
								California","
								07/19/2021","
								08/18/2021"
AERIAL LADDER TESTING,"
								Rhode Island","
								07/19/2021","
								08/16/2021"
PHYSICAL EXAMS AND ENTRANCE EXAMINATIONS,"
								Rhode Island","
								07/19/2021","
								08/16/2021"
TRANSCRIPTION SERVICES fy22,"
								Rhode Island","
								07/19/2021","
								08/16/2021"
STENOGRAPHIC SERVICES,"
								Rhode Island","
								07/19/2021","
								08/16/2021"
DIAMOND WIRE GUILLOTINE 416 PIPE CUTTER OR COMPARABLE,"
								Rhode Island","
								07/19/2021","
								08/16/2021"
VETERINARY SUPPLIES,"
								Rhode Island","
								07/19/2021","
								08/16/2021"
City of Commerce City Audit Services,"
								Colorado","
								07/19/2021","
								08/20/2021"
Request for Proposals: Cuchara Mountain Park Concessionaire,"
								Colorado","
								07/19/2021","
								09/17/2021"
RFQ 21-405: PLC Programming and Control System Services,"
								Idaho","
								07/19/2021","
								08/25/2021"
Online Adaptive  K-5 Spanish Language Arts  Development Tool,"
								New York","
								07/19/2021","
								08/19/2021"
Customer Relationship Management Platform,"
								Colorado","
								07/19/2021","
								08/31/2021"
Request for Proposal - Security Guard Services,"
								New York","
								07/19/2021","
								08/17/2021"
EMS ORGANIZATIONAL MODEL STUDY Professional Consulting Services,"
								New York","
								07/19/2021","
								09/08/2021"
PREVENTIVE MAINTENANCE AND REPAIR OF ELEVATORS AND CHAIR LIFTS,"
								New Jersey","
								07/19/2021","
								08/17/2021"
"SALE OF SURPLUS REAL PROPERTY (4602 MILE STRETCH DRIVE, HOLIDAY  34653)","
								Florida","
								07/19/2021","
								08/31/2021"
PROFESSIONAL SERVICES TO PROVIDE A CITY OF BOX ELDER PARKS MASTER PLAN 2021,"
								South Dakota","
								07/16/2021","
								09/03/2021"
COMPREHENSIVE PLAN AND ZONING ORDINANCE UPDATE 2021,"
								South Dakota","
								07/16/2021","
								09/03/2021"
Afterschool Care Program Services,"
								Georgia","
								07/16/2021","
								08/16/2021"
Janitorial Services,"
								Texas","
								07/16/2021","
								08/16/2021"
Income Tax Services for Senior Citizens,"
								Michigan","
								07/16/2021","
								08/19/2021"
"School Bus Stop-Arm (""SBSA"") Photo Violation Monitoring System","
								New York","
								07/16/2021","
								08/27/2021"
VACTOR DISPOSAL STATION FOR RCOC WATERFORD GARAGE,"
								Michigan","
								07/16/2021","
								08/17/2021"
Art Mural Project at Leviton Dual Language Schools,"
								Rhode Island","
								07/16/2021","
								08/18/2021"
Truck Cap,"
								Michigan","
								07/16/2021","
								08/24/2021"
Town of Severance Town Attorney RFP,"
								Colorado","
								07/16/2021","
								08/27/2021"
Hazard Mitigation Plan,"
								Michigan","
								07/16/2021","
								08/17/2021"
Greenhouse Construction - West Springfield High School,"
								Massachusetts","
								07/16/2021","
								08/20/2021"
Furnish & Install an AOP Treatment System At The Smith Street Pumping Station,"
								New York","
								07/16/2021","
								08/31/2021"
Las Cruces Skate Park Renovation Design/Build Project Resolicitation,"
								New Mexico","
								07/16/2021","
								09/02/2021"
Marine City Highway Corridor Management Plan,"
								Michigan","
								07/16/2021","
								08/19/2021"
Fund Defense Panel,"
								New Jersey","
								07/16/2021","
								08/26/2021"
Security Guard Services for the City & County of Denver,"
								Colorado","
								07/15/2021","
								08/29/2021"
Senior Center Parking Lot Replacement - City of Rockwood,"
								Michigan","
								07/15/2021","
								08/17/2021"
On Call Community Plan Consultant Services,"
								Colorado","
								07/15/2021","
								08/25/2021"
Ending the HIV Epidemic Phase III,"
								Georgia","
								07/15/2021","
								08/19/2021"
Building Demolition and Operation and Maintenance of In-Situ System,"
								Michigan","
								07/15/2021","
								08/31/2021"
Portable Gas Monitor,"
								Michigan","
								07/15/2021","
								08/17/2021"
JACKSON WWTP MEDIUM VOLTAGE MAIN SWITCHGEAR REPLACEMENT,"
								Michigan","
								07/15/2021","
								08/24/2021"
Village of Blissfield 2021 Street Spray-Patching Project,"
								Michigan","
								07/15/2021","
								08/17/2021"
Demolition of Buildings,"
								Michigan","
								07/15/2021","
								08/17/2021"
2022 CALENDARS,"
								New York","
								07/15/2021","
								08/17/2021"
"THE COLLECTION OF REFUSE, GARBAGE, RECYCLABLE MATERIALS AND BULK COLLECTION","
								New York","
								07/15/2021","
								08/19/2021"
Towing Services,"
								New York","
								07/15/2021","
								08/26/2021"
"ARC - OIL/GAS BURNER/BOILER REPAIR, SERVICE, INSTALL, AND REPLACE","
								New York","
								07/15/2021","
								08/19/2021"
Pumping of Grease Traps,"
								Florida","
								07/14/2021","
								08/17/2021"
"Spur Custodial, Grounds and Facility Maintenance Services","
								Colorado","
								07/14/2021","
								08/25/2021"
UTA21-37663TD High Performance E-Beam Writer,"
								Texas","
								07/14/2021","
								08/23/2021"
AS NEEDED FIBER PLAYGROUND MULCH MULTI-YEAR AWARD,"
								Florida","
								07/14/2021","
								08/17/2021"
ANCLOTE RIVER PARK - COMPLETE DESIGN,"
								Florida","
								07/14/2021","
								08/24/2021"
MANUFACTURING & INSTALLATION OF BUS STOP SIGNS FOR BROOME COUNTY TRANSIT,"
								New York","
								07/14/2021","
								08/18/2021"
Hot Mix Asphalt,"
								Michigan","
								07/14/2021","
								08/16/2021"
Sanitation Bid Borough of Midland Park,"
								New Jersey","
								07/14/2021","
								09/21/2021"
200-500 Block Rosanne Street Improvements,"
								Oklahoma","
								07/13/2021","
								08/26/2021"
Total Queue Management (TQM) Services,"
								Colorado","
								07/13/2021","
								08/24/2021"
Design and Build of Play Fountain,"
								Michigan","
								07/13/2021","
								08/17/2021"
HUNTINGTON PARK,"
								New York","
								07/13/2021","
								08/20/2021"
Snow Plow Contractors,"
								Rhode Island","
								07/13/2021","
								03/31/2022"
High Speed Telecommunications Service - Frontier,"
								New York","
								07/13/2021","
								08/19/2021"
Middle School Science Curriculum with Instructional Materials and Services,"
								Colorado","
								07/12/2021","
								08/30/2021"
9th Grade World History Curriculum with Instructional Materials and Services,"
								Colorado","
								07/12/2021","
								08/30/2021"
8th Grade Social Studies Curriculum with Instructional Materials and Services,"
								Colorado","
								07/12/2021","
								08/30/2021"
DFWB Convention Center HVAC Upgrades & Restroom Renovations,"
								Florida","
								07/12/2021","
								08/25/2021"
Data and Probability Curriculum with Instructional Materials and Services,"
								Colorado","
								07/12/2021","
								08/30/2021"
Discrete Mathematics Curriculum with Instructional Materials and Services,"
								Colorado","
								07/12/2021","
								08/30/2021"
Evidence Display Technology Upgrade,"
								Michigan","
								07/12/2021","
								08/23/2021"
Assessment of DPW Fuel Systems,"
								Colorado","
								07/12/2021","
								08/20/2021"
Snow Removal for Community Development Block Grant Funded Yard Services Program,"
								Michigan","
								07/12/2021","
								08/18/2021"
ALPHA ST WATER MAIN RECONSTRUCTION,"
								Michigan","
								07/12/2021","
								08/18/2021"
RFQ/RFI - 238 Green Street (Village-owned Parkland),"
								New York","
								07/09/2021","
								09/22/2021"
Lawn Maintenance Services @ Gulf Franklin & North Bay Campuses,"
								Florida","
								07/09/2021","
								08/26/2021"
"Twin Sludge Force Main Rehabilitation Mamaroneck and New Rochelle, N.Y.","
								New York","
								07/09/2021","
								09/15/2021"
Civil Rights Consulting Services,"
								California","
								07/09/2021","
								09/07/2021"
Mesa County 2021 Financial Audit Services,"
								Colorado","
								07/09/2021","
								08/30/2021"
"On-Call Bus Shelters, Benches, and Amenities","
								Colorado","
								07/09/2021","
								08/23/2021"
Banking Services,"
								Michigan","
								07/09/2021","
								09/20/2021"
RFP 20/21-09 5 Yr Contract - HVAC Maintenance All City Buildings,"
								Michigan","
								07/09/2021","
								08/25/2021"
Aspen Core Switches & Implementation Professional Services,"
								Colorado","
								07/08/2021","
								08/16/2021"
Mental Health Transportation Services,"
								New York","
								07/08/2021","
								08/20/2021"
West Main Street Pump Station Electrical Upgrades,"
								New York","
								07/08/2021","
								08/23/2021"
RESTORATION OF WEST NECK FARM SEAWALL,"
								New York","
								07/08/2021","
								08/18/2021"
"BENEFIT ST LAMP POST REPAIR, PAINTING & LUMINAIRE INSTALLATION","
								Rhode Island","
								07/07/2021","
								08/16/2021"
RI STATEWIDE COMMUNICATIONS NETWORK (RISCON) TRANSITION,"
								Rhode Island","
								07/07/2021","
								08/18/2021"
LZ Lot Development,"
								Colorado","
								07/07/2021","
								12/01/2021"
Central City Real Estate Broker Services,"
								Colorado","
								07/07/2021","
								08/26/2021"
Cable Television Public Access Coordinator Services,"
								New York","
								07/07/2021","
								08/18/2021"
BENEFIT ST DECORATIVE LED LAMP POST TOP LUMINAIRE FIXTURES,"
								Rhode Island","
								07/07/2021","
								08/16/2021"
BENEFIT ST RETROFIT & REFURBISHMENT OF EXISTING LUMINAIRES,"
								Rhode Island","
								07/07/2021","
								08/16/2021"
Professional Auditing Services,"
								New York","
								07/07/2021","
								08/20/2021"
"""Weld Village"" Project Scoping and Assessment","
								Colorado","
								07/07/2021","
								08/19/2021"
Vehicle Wash Systems for Three Terminals,"
								Michigan","
								07/07/2021","
								08/27/2021"
RFQ for Design-Build of Lockhart Water Treatment Plant,"
								Florida","
								07/07/2021","
								08/18/2021"
Marketing Services,"
								Maryland","
								07/06/2021","
								08/20/2021"
Atlanta-Newnan Road Pump Station and Force Main,"
								Georgia","
								07/06/2021","
								08/26/2021"
"Locks, Doors & Hardware Countywide","
								Georgia","
								07/06/2021","
								08/16/2021"
"Purchase, Delivery and Installation of an ADA Compliant Restroom","
								Texas","
								07/04/2021","
								08/17/2021"
ANCLOTE RIVER PARK RESTAURANT,"
								Florida","
								07/02/2021","
								08/17/2021"
Parking Management Information Systems,"
								Colorado","
								07/01/2021","
								09/03/2021"
Architectural Design Services,"
								California","
								07/01/2021","
								08/17/2021"
,,,
RFQ Developer Partnership Program (DPP),"
								Michigan","
								07/01/2021","
								08/16/2021"
Purchase of Public Safety Uniforms,"
								New York","
								06/30/2021","
								08/27/2021"
Transit and Paratransit Operations and Maintenance,"
								New York","
								06/30/2021","
								09/17/2021"
Cleaning of the Jails,"
								Michigan","
								06/28/2021","
								08/17/2021"
Advance Life Support & Transport Service for the  Cities of Longmont and Boulder,"
								Colorado","
								06/28/2021","
								08/18/2021"
Construction of Milton Fire Station 42,"
								Georgia","
								06/25/2021","
								08/19/2021"
Countywide Bee-Line ParaTransit Traditional Service & Technology Enhancements,"
								New York","
								06/25/2021","
								08/27/2021"
IDIQ Architect/Engineer Professional Services,"
								Texas","
								06/23/2021","
								08/18/2021"
Climate Action and Adaptation Plan,"
								Alaska","
								06/23/2021","
								10/06/2021"
FB 21-304: Snow Removal Equipment Building,"
								Idaho","
								06/23/2021","
								08/25/2021"
Hawthorne Valley Demolition Project,"
								Michigan","
								06/23/2021","
								09/30/2021"
City Hall Drainage Line Repair Project,"
								Michigan","
								06/21/2021","
								08/17/2021"
"Geographically Designated, On-Demand Transportation Services","
								Colorado","
								06/21/2021","
								09/14/2021"
American Rescue Plan Assessment,"
								Colorado","
								06/17/2021","
								08/17/2021"
Developmental and Reproductive Toxicity (DART) Study,"
								Colorado","
								06/15/2021","
								08/16/2021"
Leases for City Properties,"
								Florida","
								05/16/2021","
								08/16/2021"
Lighting Improvements at Exit 145,"
								South Carolina","
								04/13/2021","
								08/31/2021"
Pre-Qualified List for Medicolegal Death Investigative Services,"
								New York","
								03/24/2021","
								12/31/2021"
Core Services Program Request for Application (RFA),"
								Colorado","
								01/28/2021","
								05/31/2022"
"Sale of Real Property - Stony Creek Reservior, Clifton Park, NY","
								New York","
								01/27/2021","
								06/29/2022"
2021-2024 RFA Out-of-Home Placement Agencies,"
								Colorado","
								01/13/2021","
								06/30/2024"
RFQ As Needed Legal Services,"
								Michigan","
								01/11/2021","
								12/01/2025"
REQUEST FOR CONTRACTOR PREQUALIFICATIONS - CITY OF THORNTON PROJECTS OVER $500K,"
								Colorado","
								12/15/2020","
								12/31/2021"
NOTICE OF SALES TAX CHANGES INFORMATION,"
								Colorado","
								12/02/2020","
								12/31/2021"
General Contracting Services for Genesee County Metropolitan Planning Commission,"
								Michigan","
								11/24/2020","
								12/31/2021"
Staffing Agreement Project,"
								Colorado","
								11/20/2020","
								09/30/2021"
Downtown Yonkers Transportation Study,"
								New York","
								04/07/2020","
								10/24/2021"
Infrastructure Improvements Projects-Construction Qualifications,"
								Michigan","
								01/17/2020","
								01/01/2024"
REQUEST FOR QUALIFICATIONS (RFQu) TO PROVIDE INVESTMENT BANKING SERVICES,"
								Michigan","
								10/25/2019","
								11/15/2021"
Furnish and Install Stewart Signs Tekstar at School 30  Nevada Place,"
								New York","
								10/07/2019","
								12/25/2022"
Yonkers Shared Active Transportation (YSATN) Bike Share System,"
								New York","
								04/10/2019","
								05/10/2025"
,,,
